Major,Courses,
"Cognitive Science BS","Required: (1) Psychology 115 (or M117A, M117B, and M117C), 120A or 120B, and one course from 124A through 124K; (2) one course from 111, 116, 121, 186A through 186D, Computer Science 161; (3) four upper-division elective courses (16 units) from Psychology 110, 111, 112A through 116, M117J through M119X, 120A, 120B, 121, 124A through 124K (if taken for the major, may not be applied as an elective), 130, 133B, 133E, 135, 137G, 142H, 160, 161, M166, 186A through 186D, 187A, 191CH (if content is approved by the Undergraduate Advising Office and course has not been applied toward the Psychology 195B or 196B requirement), Anthropology 124Q, 136A, M150, Communication 118, 119, 126, M127, 129, Computer Science 111 through CM186, Linguistics 103 through 185B, Mathematics 110A through 171, Music Industry M103, Neuroscience 102, M145, C177, 180, 181, 182, Philosophy 124 through 137, Statistics 100A, 100B, 100C, 101B, 101C; and (4) in the junior or senior year, two capstone terms of Psychology 195B or 196B (may be fulfilled by taking any two courses from 195B or 196B or 196B/194C, provided content is approved by the Undergraduate Advising Office).",
"Communication Studies BA","Required: Communication 1, 10, one course selected from Anthropology 4, Communication M70, Linguistics 1, or Philosophy 23, one statistics course from Economics 41 or Statistics 10. Three additional courses must be selected from Political Science 40, Psychology 10, Sociology 1, and Economics 1 or 5 or Political Science 30.Required Core Courses: Communication 100, 150.Required Area Courses: A total of eight courses from the following four areas, including at least one core course in each area:Required Practicum Course: One course from Communication 101, 102, 103A, 103B, 104, 109, 111, 116, M117, 160, M176, 188E, or 191E.",
"Comparative Literature BA","Required: (1) Two courses from the Comparative Literature 1, 2, or 4 series (with approval of the director of undergraduate studies, a comparable and appropriate lower-division course in another department may be substituted for one of the courses), (2) completion of the College Writing requirement, and (3) literary proficiency in at least one language other than English, to be demonstrated by admission into one upper-division literature course in the original language.Required: Ten courses, of which (1) five must be from comparative literature offerings, including Comparative Literature 100 and at least four additional comparative literature courses selected from M101 through 197, (2) three upper-division literature courses using original language texts in the primary language area, and (3) two upper-division literature courses using original language texts in the secondary language area (students may petition the undergraduate adviser to take two upper-division literature courses in translation if their primary literature area is in a language other than English).",
"Computational and Systems Biology BS","Required: A minimum of 82 to 96 units (depending on the computer programming course and physics sequence selected), including Chemistry and Biochemistry 20A, 20B, and 20L or 14A, 14B, and 14BL; Computer Science 31 or Program in Computing 10A; Life Sciences 40; Mathematics 31A, 31B, 33A, 33B, 115A; Physics 1A, 1B, and 1C, or 1AH, 1BH, and 1CH or Physics 5A, 5B, and 5C. Electrical and Computer Engineering 1 may be substituted for Physics 1C, 1CH, or 5C.Required: (1) Computational and Systems Biology M184, M185, (2) two probability and statistics courses from: Statistics 100A or Mathematics 170A or Electrical and Computer Engineering 131A and Statistics 100B or Biostatistics 100A.Required: A minimum of five courses (20 to 30 units) from the concentrations listed below. No 199 course may be applied toward any concentration. An approved list of courses for each concentration is available in the program office and on the department website.Required: Computational and Systems Biology M186 to be taken in the junior or senior year and M187 to be taken in the junior or senior year after completion of course M186.",
"Computer Engineering BS","Required: Computer Science 1 (or Electrical and Computer Engineering 1), 31, 32, 33, 35L, M51A (or Electrical and Computer Engineering M16); Electrical and Computer Engineering 3; Engineering 96C; Mathematics 31A, 31B, 32A, 32B, 33A, 33B, 61; Physics 1A, 1B, 1C, and 4AL or 4BL.Required: Computer Science 111, 118 (or Electrical and Computer Engineering 132B), M151B (or Electrical and Computer Engineering M116C), M152A (or Electrical and Computer Engineering M116L), 180; Electrical and Computer Engineering 100, 102, 113, 115C; one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Statistics 100A; 8 units of computer science and 8 units of electrical and computer engineering upper-division electives; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; 8 units capstone design from either Electrical and Computer Engineering 180DA/180DB or 183DA/183DB.",
"Computer Engineering BS","Required: Computer Science 1 (or Electrical and Computer Engineering 1), 31, 32, 33, 35L, M51A (or Electrical and Computer Engineering M16); Electrical and Computer Engineering 3; Engineering 96C; Mathematics 31A, 31B, 32A, 32B, 33A, 33B, 61; Physics 1A, 1B, 1C, and 4AL or 4BL.Required: Computer Science 111, 118 (or Electrical and Computer Engineering 132B), M151B (or Electrical and Computer Engineering M116C), M152A (or Electrical and Computer Engineering M116L), 180; Electrical and Computer Engineering 100, 102, 113, 115C; one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Statistics 100A; 8 units of computer science and 8 units of electrical and computer engineering upper-division electives; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; 8 units capstone design from either Electrical and Computer Engineering 180DA/180DB or 183DA/183DB.",
"Computer Science BS","Required: Computer Science 1, 31, 32, 33, 35L, M51A; Mathematics 31A, 31B, 32A, 32B, 33A, 33B, 61; Physics 1A, 1B, 1C, and 4AL or 4BL.Required: Computer Science 111, 118, 131, M151B, M152A, 180, 181; one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, or Statistics 100A; one capstone software engineering or design course from Computer Science 130 or 152B; 20 units of elective courses selected from Computer Science 100 through CM187; 12 units of science and technology courses (not used to satisfy other requirements) that may include 12 units of upper-division computer science courses or 12 units of courses selected from an approved list available in the Office of Academic and Student Affairs; and 12 units of technical breadth courses selected from an approved list available in the Office of Academic and Student Affairs.",
"Computer Science and Engineering BS","Required: Computer Science 1, 31, 32, 33, 35L, M51A; Electrical and Computer Engineering 3; Mathematics 31A, 31B, 32A, 32B, 33A, 33B, 61; Physics 1A, 1B, 1C, and 4AL or 4BL.Required: Computer Science 111, 118, 131, M151B, M152A, 180, 181, Electrical and Computer Engineering 100, 102, 115C; one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, or Statistics 100A; one capstone design course (Computer Science 152B); 4 units of elective courses selected from Electrical and Computer Engineering 101A through 187; 12 units of elective courses selected from Computer Science 100 through CM187; and 12 units of technical breadth courses selected from an approved list available in the Office of Academic and Student Affairs.",
"Dance BA","Required: Dance 1, 16, 44, 45, 67A, 67B, 70.Required: (1) Dance 101, 117A, 117B and (2) 10 units in the primary area and 5 units in the secondary area selected from the following: (a) creative inquiry as research — Dance 114, 116, 117C, 118, 119, C122, 169, 170, C171, 174A, 174B, C180, or other upper-division courses with faculty approval, (b) critical dance studies — Dance C145, C152, M157, 158, 159, 160, 161, CM168, C171, 182, World Arts and Cultures 199, or other upper-division courses with faculty approval, (c) dance and civic engagement — Dance 165, 166, 167, C184, World Arts and Cultures 100A, 100B, 103, 114, 144, 160, 177SL, 195, or other upper-division courses with faculty approval (no more than 8 units of courses 114 and/or 160 may be applied toward this area). Students also have the option to propose a senior honors project through Dance 186A and 186B.Movement Arts/Dance Practices — Required: A total of 48 units of practice courses. A minimum of two technique courses per term until completion is strongly recommended. Thirty of the total 48 units must be selected from Dance 6, 9, 13, 15, 56, 59, 63, 65, C106A, C113A, C115, 116. Of these 30 units, a minimum of 6 units of a first style and 4 units of a second style must be at the advanced level. Eighteen of the total 48 units may be selected from Dance 5, 10, 11, 12, 16, 52, 60, C112A, 116, 159, 160, World Arts and Cultures 55, 78, 80, 178. No more than 8 units of World Arts and Cultures 78 or 178 may be applied toward this requirement.",
"World Arts and Cultures BA","Required: World Arts and Cultures 1, 20, 24, 33, and one 5-unit elective selected from course 2, 22, M23, or 51W.Required: (1) World Arts and Cultures 100A or 100B, 104, 124; (2) a total of 20 units with a minimum of 12 units from one stream: stream 1 (arts activism) — World Arts and Cultures 103, 114, 120 (with faculty approval), 144, C146, C158, C159, 160, C164, C168, 174A, 174B, 177SL, 195, 199, or other upper-division courses with faculty approval (no more than 8 units of courses 114 and/or 160 may be applied toward this stream), stream 2 (critical ethnographies) — courses 120 (with faculty approval), 121, 132, C139, CM140, C141, C142, C146, C150, C151, 174A, 174B, 181, 195, 199, or other upper-division courses with faculty approval, stream 3 (visual cultures) — Clusters 180A, courses 120 (with faculty approval), M125A, M125AL, M125B, M125BL, M125C, M125CL, M126, M128, CM130, 133, C138, C139, C141, 143B, C145, C146, C152, 174A, 174B, C180, 181, C182, C184, M187, 195, 199, or other upper-division courses with faculty approval; and (3) courses 186A and 186B (senior honors project) or equivalent coursework with faculty approval.",
"Dance BA","Required: Dance 1, 16, 44, 45, 67A, 67B, 70.Required: (1) Dance 101, 117A, 117B and (2) 10 units in the primary area and 5 units in the secondary area selected from the following: (a) creative inquiry as research — Dance 114, 116, 117C, 118, 119, C122, 169, 170, C171, 174A, 174B, C180, or other upper-division courses with faculty approval, (b) critical dance studies — Dance C145, C152, M157, 158, 159, 160, 161, CM168, C171, 182, World Arts and Cultures 199, or other upper-division courses with faculty approval, (c) dance and civic engagement — Dance 165, 166, 167, C184, World Arts and Cultures 100A, 100B, 103, 114, 144, 160, 177SL, 195, or other upper-division courses with faculty approval (no more than 8 units of courses 114 and/or 160 may be applied toward this area). Students also have the option to propose a senior honors project through Dance 186A and 186B.Movement Arts/Dance Practices — Required: A total of 48 units of practice courses. A minimum of two technique courses per term until completion is strongly recommended. Thirty of the total 48 units must be selected from Dance 6, 9, 13, 15, 56, 59, 63, 65, C106A, C113A, C115, 116. Of these 30 units, a minimum of 6 units of a first style and 4 units of a second style must be at the advanced level. Eighteen of the total 48 units may be selected from Dance 5, 10, 11, 12, 16, 52, 60, C112A, 116, 159, 160, World Arts and Cultures 55, 78, 80, 178. No more than 8 units of World Arts and Cultures 78 or 178 may be applied toward this requirement.",
"Design | Media Arts BA","Required: Design | Media Arts 8, 10, 21, 22, 24, 25, 28.Required: Twelve upper-division courses: Design | Media Arts 101, 104; six courses selected from 152, 153, 154, 156, 157, 161, 163; three courses selected from 160, 171, 172, 173; and one capstone course selected from 159A, 159B, or 159C.",
"Earth and Environmental Science BA","Required: Earth, Planetary, and Space Sciences 1, 5 or 8 or 13 or 15 or 16 or 17 or 20, 51, 61; Chemistry and Biochemistry 14A, 14B, and 14BL, or 20A, 20B, and 20L; Life Sciences 1 or another introductory organismic biology course; Mathematics 3A and 3B, or 31A and 31B; Physics 1A or 5A. Each course must be passed with a minimum grade of C−.Required: Three courses from Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, 116, 119; one capstone 199 research course in the senior year; three additional upper-division courses from Earth, Planetary, and Space Sciences other than 100; two courses from Geography 100, 101, 104, 105 and 105A, M107, M109, 110, 124, 125, M127, M131.",
"Ecology, Behavior, and Evolution BS","Required: Chemistry and Biochemistry 14A, 14B, 14BL, 14C, and 14D, or 20A, 20B, 20L, 30A, 30AL, and 30B; Life Sciences 30A, 30B, and 40 or Statistics 13, or Mathematics 3A, 3B, 3C, and Life Sciences 40 or Statistics 13, or Mathematics 31A, 31B, 32A, and Life Sciences 40 or Statistics 13; Physics 1A, 1B, 1C, 4AL, and 4BL, or 5A, 5B, and 5C.",
"Economics BA","Required: Economics 1, 2, 11, 41; one Writing II course or English Composition 129B; Mathematics 31A, and 31B or 31E. Each course must be taken for a letter grade. A 2.0 (C) grade is required in each premajor course. To enter the major, students must have a minimum 2.5 grade-point average in the economics and mathematics preparation courses and a GPA of at least 2.0 in any upper-division courses taken for the major before applying.Required: Ten upper-division economics courses as follows: Economics 101, 102, 103, 103L, and six Economics Department upper-division elective courses. No more than two of the elective courses may also be selected from Management 120A, 120B, 122, 127A, 130A, 130B, 180 (real estate finance only).",
"Computer Engineering BS","Required: Computer Science 1 (or Electrical and Computer Engineering 1), 31, 32, 33, 35L, M51A (or Electrical and Computer Engineering M16); Electrical and Computer Engineering 3; Engineering 96C; Mathematics 31A, 31B, 32A, 32B, 33A, 33B, 61; Physics 1A, 1B, 1C, and 4AL or 4BL.Required: Computer Science 111, 118 (or Electrical and Computer Engineering 132B), M151B (or Electrical and Computer Engineering M116C), M152A (or Electrical and Computer Engineering M116L), 180; Electrical and Computer Engineering 100, 102, 113, 115C; one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Statistics 100A; 8 units of computer science and 8 units of electrical and computer engineering upper-division electives; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; 8 units capstone design from either Electrical and Computer Engineering 180DA/180DB or 183DA/183DB.",
"Electrical Engineering BS","Required: Chemistry and Biochemistry 20A; Computer Science 31, 32; Electrical and Computer Engineering 2, 3, 10, 11L, M16 (or Computer Science M51A); Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL, 4BL.Required: Electrical and Computer Engineering 101A, 102, 110, 111L, 113, 131A; six core courses selected from Computer Science 33, Electrical and Computer Engineering 101B, 115A, 121B, 132A, 133A, 141, 170A; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; 12 units of major field elective courses, at least 8 of which must be upper-division electrical and computer engineering courses — the remaining 4 units may be from upper-division electrical and computer engineering courses or from another engineering school department; and one two-term electrical and computer engineering capstone design course (8 units).",
"Electrical Engineering BS","Required: Chemistry and Biochemistry 20A; Computer Science 31, 32; Electrical and Computer Engineering 2, 3, 10, 11L, M16 (or Computer Science M51A); Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL, 4BL.Required: Electrical and Computer Engineering 101A, 102, 110, 111L, 113, 131A; six core courses selected from Computer Science 33, Electrical and Computer Engineering 101B, 115A, 121B, 132A, 133A, 141, 170A; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; 12 units of major field elective courses, at least 8 of which must be upper-division electrical and computer engineering courses — the remaining 4 units may be from upper-division electrical and computer engineering courses or from another engineering school department; and one two-term electrical and computer engineering capstone design course (8 units).",
"Engineering Geology BS","Required: Earth, Planetary, and Space Sciences 1, 51, 61; Chemistry and Biochemistry 20A, 20B, 20L; Civil and Environmental Engineering M20; Mathematics 31A, 31B, 32A, 33A; Physics 1A, 1B, 1C, 4AL, 4BL. Recommended: Mathematics 32B. Each course must be passed with a minimum grade of C−.Required: Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, 136A, 139; Civil and Environmental Engineering 108, 120, 121, 150; two capstone field research courses (Earth, Planetary, and Space Sciences 121, 121F).",
"English BA","Required: English Composition 3, English 4W or 4HW or 4WS, 10A, 10B, 10C taken in the stated sequence (each course is a requisite for the next course). A grade of C or better is required in each course.Required: Ten 4- or 5-unit upper-division English courses, including (1) four historical period courses, one from each of the following four periods: (a) literatures in English to 1500 — course 140A through 148 or indicated sections of 149, (b) literatures in English, 1500 to 1700 — course 150A through 157, indicated sections of 159 or 159R or 166A, (c) literatures in English, 1700 to 1850 — course 160A through 165C, 166B through 168, 176, or indicated sections of 169 or 169R, and (d) literatures in English, 1850 to present — course M101B, M101C, M102A, M102B, M104A through M104D, M105B through M105E, 116B, 130, 131, 164B, 164C, 164D, 167A, 167B, 168, 170A through 174C, 176, 179, or 179R; (2) three breadth courses, one from each of three of the following four areas: (a) gender, race, ethnicity, disability, and sexuality studies — English 100 through 109, M126, 135, 155, 163C, 165B, 166C, or indicated sections of 119, 139, 149, 159, 159R, 169, 169R, 179, or 179R, (b) imperial, transnational, and postcolonial studies — course M105A through M105D, 112D, 128, 130 through 135, 154, 157, 163B, 164D, 165A, 166A, 166B, 176, or indicated sections of 149, 159, 159R, 169, 169R, 179, or 179R, (c) genre studies, interdisciplinary studies, critical theory — course 111A through 129, 144, 146, 147, 153, 156, 161A, 161B, 161C, 163A, 163C, 164A through 164D, 167A, 167B, 171A through 177, or indicated sections of 149, 159, 159R, 169, 169R, 179, or 179R, and (d) creative writing — courses 136, 137, M138; (3) two elective courses (two sections of English 110B may fulfill one elective; English 195CE is not applicable); (4) one seminar from course 180 through 184, or M191A through M191E. Admission to creative writing workshops (courses 136, 137, M138) is by application only. Each course applied toward requirements for the major must be 4 or 5 units and be taken for a letter grade.",
"Environmental Science BS","Required: Chemistry 14A, 14B, and 14BL (or 20A, 20B, and 20L), Environment 10, Geography 7, Life Sciences 7A, 7B, Mathematics 3A and 3B (or 31A and 31B, or Life Sciences 30A and 30B), Physics 5A and 5C (or 1A and 1B), Statistics 12 or 13 (or Life Sciences 40).Required: Environment 175 and found additional courses from the following physical and life sciences areas. No more than two courses may be from any one department. Atmospheric and Oceanic Sciences 101, 102, 103, 104, M105, 107, 112, 130, 141, Chemical Engineering C118, Civil Engineering 153, 154, M166, Earth, Planetary, and Space Sciences 101, C113, 119, 139, 150, 153, Ecology and Evolutionary Biology 100, 109, 116, 151A, 154, Environment 121, 157, Environmental Health Sciences 100, C125, C152D, C164, Geography 100, 102, 104, 105, M106, M107, 111, 113, M127, M131.Required: Environment 140 and two courses from Environment M132, M133, M137, 150, M153, M155, 157, 159, 160, M161, 162, 163, M164, 166, M167, Geography M128, 135, M137, 150, M153, 156, Philosophy 125, Public Policy C115.Required: Environment 180A, 180B, 180C, and two terms of 185A.",
"Environmental Science BS","Required: Chemistry 14A, 14B, and 14BL (or 20A, 20B, and 20L), Environment 10, Geography 7, Life Sciences 7A, 7B, Mathematics 3A and 3B (or 31A and 31B, or Life Sciences 30A and 30B), Physics 5A and 5C (or 1A and 1B), Statistics 12 or 13 (or Life Sciences 40).Required: Environment 175 and found additional courses from the following physical and life sciences areas. No more than two courses may be from any one department. Atmospheric and Oceanic Sciences 101, 102, 103, 104, M105, 107, 112, 130, 141, Chemical Engineering C118, Civil Engineering 153, 154, M166, Earth, Planetary, and Space Sciences 101, C113, 119, 139, 150, 153, Ecology and Evolutionary Biology 100, 109, 116, 151A, 154, Environment 121, 157, Environmental Health Sciences 100, C125, C152D, C164, Geography 100, 102, 104, 105, M106, M107, 111, 113, M127, M131.Required: Environment 140 and two courses from Environment M132, M133, M137, 150, M153, M155, 157, 159, 160, M161, 162, 163, M164, 166, M167, Geography M128, 135, M137, 150, M153, 156, Philosophy 125, Public Policy C115.Required: Environment 180A, 180B, 180C, and two terms of 185A.",
"Environmental Science BS","Required: Chemistry 14A, 14B, and 14BL (or 20A, 20B, and 20L), Environment 10, Geography 7, Life Sciences 7A, 7B, Mathematics 3A and 3B (or 31A and 31B, or Life Sciences 30A and 30B), Physics 5A and 5C (or 1A and 1B), Statistics 12 or 13 (or Life Sciences 40).Required: Environment 175 and found additional courses from the following physical and life sciences areas. No more than two courses may be from any one department. Atmospheric and Oceanic Sciences 101, 102, 103, 104, M105, 107, 112, 130, 141, Chemical Engineering C118, Civil Engineering 153, 154, M166, Earth, Planetary, and Space Sciences 101, C113, 119, 139, 150, 153, Ecology and Evolutionary Biology 100, 109, 116, 151A, 154, Environment 121, 157, Environmental Health Sciences 100, C125, C152D, C164, Geography 100, 102, 104, 105, M106, M107, 111, 113, M127, M131.Required: Environment 140 and two courses from Environment M132, M133, M137, 150, M153, M155, 157, 159, 160, M161, 162, 163, M164, 166, M167, Geography M128, 135, M137, 150, M153, 156, Philosophy 125, Public Policy C115.Required: Environment 180A, 180B, 180C, and two terms of 185A.",
"Ethnomusicology BA","Required: Ethnomusicology M6A, M6B, M6C, with grades of C− or better, 20A, 20B, 20C, with grades of C or better, Music 20A, 20B, 20C, with grades of C or better, and 12 units of ethnomusicology world music performance organizations (courses 91A through 91Z), private instruction in music (course 92), and/or world music specializations (courses 68A through 68Z).Required: Ethnomusicology 175 or 181, 183; 12 units from courses 161A through 161Z, 162, and/or 168A through 168Z; a minimum of eight upper-division ethnomusicology courses (32 to 36 units); and a capstone project in either (1) performance/composition, (2) public ethnomusicology, (3) scholarly research, or (4) other potential emphasis concepts in consultation with a faculty adviser.",
"European Studies BA","Required: (1) International and Area Studies 1, (2) one area studies course from Central and East European Studies 91, Comparative Literature 1C, 2CW, 4CW, Dutch 10, English 88G, French 12, 14 (or 14W), 41, 60, German 50B, 57, 59, 61A through 61D, History 1C (or 1CH), 97C, International and Area Studies 40, Italian 42B, 46, 50B, Portuguese 40A, Romanian 90, Russian 25 (or 25W), 30, 31, 32, 90B (or 90BW), Scandinavian 50 (or 50W), Slavic 90, Spanish 42, (3) two international politics and markets courses from Economics 1, 2, Geography 4, 6, Political Science 50 (or 50R), Sociology 1, (4) two international societies and cultures courses from Anthropology 3, Comparative Literature 1D (or 2DW or 4DW), Ethnomusicology 5, 25, Geography 3, History 2B, 22, World Arts and Cultures 20, 33, and (5) one area-related foreign language sequence through the intermediate level (e.g., Czech 102C, Dutch 103C, French 6, German 6, Hungarian 102C, Italian 6, Polish 102C, Portuguese 3, Romanian 102C, Russian 6, Scandinavian 29, 105B, 106B, 107B, Serbian/Croatian 102C, Spanish 5, Ukrainian 102C, Yiddish 102C). The language requirement can also be fulfilled in part or in total by taking a placement examination given through the appropriate language department. Each course must be taken for a letter grade.",
"Film and Television BA","Required: Film and Television 4, 6A, 10A, 33, 51, 52, 84A, and one course from Theater 10, 15, 20, 28A, 28B, 28C, or 30.Required: Film and Television 101A, 102A, 102B, 102C, 106B (or 106C), 134, 154, 155, 163; one cinema and media studies elective from 107, 108, 109, M111, 112, 113, 114, M117, or 122N; one capstone departmentally sponsored internship (course 195) taken concurrently with course 194; and a senior concentration (20 units) of advanced film coursework selected from among any one or more of the following areas of study, including at least two courses from within one area:",
"Financial Actuarial Mathematics BS","Required: Mathematics 31A, 31B, 32A, 32B, 33A, 33B, Economics 1, 2, 11, Management 1A, 1B, Program in Computing 10A. Each course must be taken for a letter grade. The economics preparation for the major courses (Economics 1, 2, 11, Management 1A, 1B) are calculated separately from the mathematics preparation for the major courses (Mathematics 31A, 31B, 32A, 32B, 33A, 33B, Program in Computing 10A). The economics preparation courses must be completed with a minimum overall 2.5 grade-point average and a grade of C or better in each course, as must the mathematics preparation courses.Required: Eight mathematics/statistics courses, including Mathematics 115A, 131A, 170A, 170B, 174E (or Economics 141 or Statistics C183), 175; one two-term sequence from the following categories: life contingency actuarial models — courses 172B and 172C, or casualty loss models — courses 173A and 173B; and three courses from 172B through 173B, Economics 101 through 199B, Statistics 100C. Each course must be taken for a letter grade. Transfer credit is subject to department approval; consult with an undergraduate counselor before enrolling in any courses for the major.",
"French BA","Required: French 1, 2, 3, 4, 5, 6, 12, or equivalent. Students normally take course 6 before undertaking course 12. Students who receive a grade of A in course 5 may enroll in course 12 concurrently with course 6, with consent of the instructor.Required: French 100, 101, two courses from 114A, 114B, and 114C, one senior capstone seminar (191B), and six 4-unit courses in French and Francophone literature and/or culture selected from upper-division offerings in the department in language, civilization, literature, or the arts. One upper-division elective course from outside the department may be substituted in the major program with consent of the undergraduate adviser. Each course must be taken for a letter grade.Required: French 100, 101, one course from 114A, 114B, or 114C, one senior capstone seminar (191B), four upper-division elective courses in French and Francophone studies, and three upper-division elective courses in fields relevant to French and Francophone studies to be selected from outside the department in consultation with the undergraduate adviser. Each course must be taken for a letter grade.",
"French BA","Required: French 1, 2, 3, 4, 5, 6, 12, or equivalent. Students normally take course 6 before undertaking course 12. Students who receive a grade of A in course 5 may enroll in course 12 concurrently with course 6, with consent of the instructor.Required: French 100, 101, two courses from 114A, 114B, and 114C, one senior capstone seminar (191B), and six 4-unit courses in French and Francophone literature and/or culture selected from upper-division offerings in the department in language, civilization, literature, or the arts. One upper-division elective course from outside the department may be substituted in the major program with consent of the undergraduate adviser. Each course must be taken for a letter grade.Required: French 100, 101, one course from 114A, 114B, or 114C, one senior capstone seminar (191B), four upper-division elective courses in French and Francophone studies, and three upper-division elective courses in fields relevant to French and Francophone studies to be selected from outside the department in consultation with the undergraduate adviser. Each course must be taken for a letter grade.",
"French and Linguistics BA","Required: French 1, 2, 3, 4, 5, 6, 12, or equivalent, Linguistics 20, completion of the third term of a second foreign language. Students normally take course 6 before undertaking course 12. Students who receive a grade of A in course 5 may enroll in course 12 concurrently with course 6, with consent of the instructor.Required: French 100, 101, 104, one course from 114A, 114B, or 114C, two courses from 105, 107, 108, 109, 110, one upper-division French elective course, and Linguistics 103, 110, 120A, 120B. Each course must be taken for a letter grade.",
"French and Linguistics BA","Required: French 1, 2, 3, 4, 5, 6, 12, or equivalent, Linguistics 20, completion of the third term of a second foreign language. Students normally take course 6 before undertaking course 12. Students who receive a grade of A in course 5 may enroll in course 12 concurrently with course 6, with consent of the instructor.Required: French 100, 101, 104, one course from 114A, 114B, or 114C, two courses from 105, 107, 108, 109, 110, one upper-division French elective course, and Linguistics 103, 110, 120A, 120B. Each course must be taken for a letter grade.",
"Gender Studies BA","Required: Gender Studies 10. Students must also complete departmental lower-division requisites, as applicable, for upper-division gender studies courses.Required: At least 11 upper-division courses (minimum of 4 units each) as follows: (1) three core courses — Gender Studies 102, 103, 104, (2) seven elective courses; one upper-division tutorial (minimum of 4 units) selected from course 195, 197, or 199 may be applied toward the elective requirement (this limit does not apply to course 198A or 198B), and (3) course 187 (capstone seminar).",
"General Chemistry BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C, 30CL; Mathematics 31A, 31B, 32A, 33B; Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH), 4BL.Required: Chemistry and Biochemistry 110A, 153A, 153L, 171; three additional upper-division courses in the department (at least one must be a laboratory course); six additional upper-division courses. A 2.0 grade-point average is required in all upper-division courses in the department. Acceptance into the major is based on an original written proposal that is coherent in terms of student interests and objectives. The proposal should specify which courses students plan to apply toward the major and requires the approval of the faculty adviser.",
"Earth and Environmental Science BA","Required: Earth, Planetary, and Space Sciences 1, 5 or 8 or 13 or 15 or 16 or 17 or 20, 51, 61; Chemistry and Biochemistry 14A, 14B, and 14BL, or 20A, 20B, and 20L; Life Sciences 1 or another introductory organismic biology course; Mathematics 3A and 3B, or 31A and 31B; Physics 1A or 5A. Each course must be passed with a minimum grade of C−.Required: Three courses from Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, 116, 119; one capstone 199 research course in the senior year; three additional upper-division courses from Earth, Planetary, and Space Sciences other than 100; two courses from Geography 100, 101, 104, 105 and 105A, M107, M109, 110, 124, 125, M127, M131.",
"Engineering Geology BS","Required: Earth, Planetary, and Space Sciences 1, 51, 61; Chemistry and Biochemistry 20A, 20B, 20L; Civil and Environmental Engineering M20; Mathematics 31A, 31B, 32A, 33A; Physics 1A, 1B, 1C, 4AL, 4BL. Recommended: Mathematics 32B. Each course must be passed with a minimum grade of C−.Required: Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, 136A, 139; Civil and Environmental Engineering 108, 120, 121, 150; two capstone field research courses (Earth, Planetary, and Space Sciences 121, 121F).",
"Geology BS","Required: Earth, Planetary, and Space Sciences 1, 51, 61, 71; Chemistry and Biochemistry 14A, 14B, and 14BL, or 20A, 20B, and 20L; Life Sciences 1; Mathematics 3A, 3B, and 3C, or 31A, 31B, and 32A; Physics 1A, 1B, 4AL, and 4BL, or 5A and 5B. Each course must be passed with a minimum grade of C−.Required: Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, M118 (or 136A); two courses from 103C, 116, and 133; two capstone field research courses (121, 121F); two additional 100-level department courses.",
"Geophysics BS","Required: Earth, Planetary, and Space Sciences 51, 61, 71, and one course from 1 (preferred) through 15; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL, 4BL. Each course must be passed with a minimum grade of C−.Required Core: Earth, Planetary, and Space Sciences 136A, M140, 171, one capstone field research course (136C), one course from 152, 153, 154, 155; Physics 105A, 105B, 110A, 110B, 131. Substitutions of equivalent courses from engineering or other physical sciences departments must be approved by the undergraduate adviser.",
"Geology BS","Required: Earth, Planetary, and Space Sciences 1, 51, 61, 71; Chemistry and Biochemistry 14A, 14B, and 14BL, or 20A, 20B, and 20L; Life Sciences 1; Mathematics 3A, 3B, and 3C, or 31A, 31B, and 32A; Physics 1A, 1B, 4AL, and 4BL, or 5A and 5B. Each course must be passed with a minimum grade of C−.Required: Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, M118 (or 136A); two courses from 103C, 116, and 133; two capstone field research courses (121, 121F); two additional 100-level department courses.",
